Pillar #,Pillar Name,Description,Platform Mix,Post Frequency,Goal,Example Hook,Example CTA,Badhta Pehnaao Tie-In
1,Behind The Seams (Process),"Show the actual stitching process — measurements, cutting, hidden expansion seams, fitting sessions. Raw, authentic, no filters.","Instagram Reels 40%, TikTok 40%, FB 20%",3x/week,Trust + Education,'Yeh hidden seam aapki beti ko 2 saal aur chalay gi...','Book a fitting to see this in person',Show the expandable seam technique being stitched — the 'secret sauce'
2,Grow-With-Me Transformations (Before/After),"Same outfit, same girl, 1-2 years apart. Visual proof of the concept. Most shareable content type.","Instagram Reels 50%, TikTok 30%, FB 20%",2x/week,Viral + Proof,'Same dress. Same girl. 2 years apart. Here's how we did it...','Plan your daughter's 3-year wardrobe — link in bio',THE pillar — this is the visual proof of the entire concept
3,Mama Moments (Emotion),"Stories from real mothers — why they chose Tifl, their daughter's reaction, handing down to siblings, the memory piece reveal.","Instagram Stories 50%, FB 30%, Reels 20%",2x/week,Emotion + Community,'Main ne socha tha yeh sirf ek Eid ki dress thi. Phir pata chala...','Share your Tifl story with #KaprayKiKahani',Memory piece reveals — repurposing old outfits into keepsakes
4,Style Guide / Tips (Education),"Practical advice: '3 frocks that work for Eid AND birthdays', 'How to measure at home', 'Fabric guide for Lahore summers'.","Instagram Carousel 50%, FB 30%, Stories 20%",2x/week,Authority + Saves,'Lahore ki garmi mein bachon ke liye best fabric? Yeh 3 hain...','Save this for your next fitting',Tips on choosing designs with expansion potential
5,Tailor Spotlight (Expertise),"Introduce individual master tailors — their specialty, years of experience, a fun fact, their 'signature stitch'.","Instagram Reels 40%, FB 30%, Stories 30%",1x/week,Trust + Personalization,'Ustad Ji ka haath — 18 saal se sirf bachon ke kapray bana rahe hain','Request Ustad [Name] for your next fitting',Each tailor's specific expandable technique
6,Collection Drops / Live Sale Hype,"New arrivals, seasonal collections, live sale countdowns, flash previews. Create FOMO.","Instagram Stories 40%, Reels 30%, FB 20%, WhatsApp Status 10%",Event-based (2-3x/month),Sales + Urgency,"'Kal raat 8 baje. Live. Sirf 15 pieces. Pehle comment, pehle paao.'",'Turn on post notifications + join WhatsApp group',Highlight 'expandable tier' as premium option in every drop
7,Kapray Ki Kahani (Memory Archive),"UGC + emotional — show the memory piece transformation. Old Eid dress → cushion cover, jacket, or keepsake box.","Instagram Reels 40%, FB 30%, Stories 30%",1x/week,Retention + UGC,'Meri beti ki pehli Eid ki dress — ab uss ka college bag ban gayi hai','Start your Kapray Ki Kahani — DM us',THE emotional anchor — repurposing service as content goldmine
8,Lahore Life (Local Culture),"Connect to Lahore specifically — MM Alam Road vibes, Gulberg shopping culture, Eid prep energy, wedding season madness.","Instagram Stories 50%, Reels 30%, FB 20%",1x/week,Local relevance + relatability,'Gulberg III mein Eid ki taiyariyan — yeh scene aapko bhi familiar hai?',"'Visit us on MM Alam Road — Tue-Sun, 11am-8pm'",Show local mothers bringing kids for expansion fittings
9,Interactive / Polls / Q&A,"Engagement-driven: 'Which design for Eid?', 'Guess her age in this dress', 'Rate this fit 1-10', polls in Stories.","Instagram Stories 70%, Reels 20%, FB 10%",2x/week,Engagement + Algorithm boost,'Aapki beti ke liye Eid pe kaunsa color? Comment karein!','Vote in our story + get 10% off your next booking',Poll: 'Would you pay 20% more for 3 years of wear?'
10,Founder Diaries (Founder Story),"Personal content from the founder(s) — why you started, struggles, wins, a day in the studio, unfiltered thoughts.","Instagram Stories 50%, Reels 30%, FB 20%",1x/week,Humanize brand + loyalty,'2 saal pehle main ne socha tha yeh sirf ek side hustle hai...','Follow our journey — we're building something for Lahore's daughters',Origin story of the grow-with-me insight
