Day,Time (PKT),Platform,Content Type,Pillar,Format,Goal,Example Topic,CTA,Hashtag Set
Monday,8:00 PM,Instagram,Reel,Behind The Seams,Process video (30-60s),Education + Trust,'Yeh hidden seam 2 saal tak chalay gi','Book fitting — link in bio',Set A
Monday,9:00 PM,WhatsApp Status,Status,All,Photo + text,Direct engagement,Reel preview + booking link,'DM to book',N/A
Tuesday,7:00 PM,Instagram,Carousel/Grid,Style Guide,Carousel (5-7 slides),Saves + Shares,'5 versatile pieces for school-to-Eid','Save for later + share with a mom',Set B
Tuesday,8:30 PM,Instagram,Stories,Interactive,Poll / Quiz / Question,Engagement,'Which color for winter weddings?','Vote now — winner gets 10% off',N/A
Tuesday,9:00 PM,Facebook,Cross-post,Style Guide,Carousel mirror,Reach older demo,Same as IG carousel,'Shop now on our website',Set B
Wednesday,8:00 PM,Instagram,Reel,Grow-With-Me Transformation,Before/After (15-30s),Viral + Proof,'Same dress. 2 years. Here's the secret','Plan her 3-year wardrobe — link in bio',Set C
Wednesday,9:00 PM,TikTok,Cross-post,Grow-With-Me Transformation,Same reel,Reach younger moms,Same as IG reel,'Link in bio for Lahore bookings',Set C
Wednesday,Throughout,Instagram,Stories (3-5),Lahore Life / Process,BTS studio moments,Authenticity,"'Wednesday at Tifl: 4 fittings, 6 chai'",'Visit us Tue-Sun',N/A
Thursday,7:00 PM,Instagram,Carousel/Grid,Style Guide / Tips,Educational carousel,Saves + Authority,'How to measure your daughter at home','Tag a mom who needs this',Set D
Thursday,8:30 PM,Instagram,Stories,Interactive,Quiz / Countdown,Engagement,'Guess how many times this dress was worn','Answer in DMs for surprise',N/A
Thursday,9:00 PM,WhatsApp Status,Status,All,Customer testimonial snippet,Social proof,'Ayesha's mom said...' + photo,'Book your fitting',N/A
Friday,8:00 PM,Instagram,Reel,Tailor Spotlight / Founder,Personality video (30-45s),Trust + Connection,"'Ustad Rizwan: 18 years, 2000 frocks'",'Request Rizwan for your fitting',Set E
Friday,9:00 PM,Facebook,Cross-post,Tailor Spotlight,Video mirror,Reach,Same as IG,'Meet our team in Gulberg',Set E
Friday,Throughout,Instagram,Stories (3-5),Collection / Offer,New arrivals / Flash offer,Sales,'Weekend special: Free measurement session','Swipe up to book',N/A
Saturday,11:00 AM,Instagram,Stories,Lahore Life / Studio,Saturday morning energy,Community,'Saturday fittings are our favorite','Walk-ins welcome today',N/A
Saturday,7:00 PM,Instagram,Reel,Mama Moments / Emotional,Customer story (45-60s),Emotion + Shares,'Meri beti ki pehli Eid ki dress...','Share your story #KaprayKiKahani',Set F
Saturday,8:00 PM,Instagram,Live (if scheduled),Live Sale / Q&A,Live stream (30-45min),Immediate sales,'Live now: Winter wedding collection','Comment SOLD + size to claim',N/A
Saturday,9:30 PM,WhatsApp Status,Status,All,Weekend wrap-up + Monday preview,Retention,'What a Saturday! See you Tuesday','DM for early week booking',N/A
Sunday,8:00 PM,Instagram,Reel,Kapray Ki Kahani / Memory,Transformation / Emotional (30-60s),Retention + UGC,'Old dress → new bag: The full process','Start your memory piece — DM us',Set G
Sunday,9:00 PM,TikTok,Cross-post,Kapray Ki Kahani,Same reel,Reach,Same as IG,'Link in bio for Lahore',Set G
Sunday,Throughout,Instagram,Stories (3-5),Interactive / Plan ahead,Week ahead preview / Poll,Engagement,'Next week: Which reel should we make?','Vote + we'll film it',N/A
Daily,Morning (9-10 AM),WhatsApp Status,Status,All,Daily studio moment / quote / tip,Top-of-mind,'Good morning from Gulberg — today's tip...','Visit us 11am-8pm',N/A
Daily,Evening (8-9 PM),Instagram,Stories,All,End-of-day wrap / tomorrow tease,Retention,'That's a wrap — see what's coming tomorrow','Turn on notifications',N/A
