Page,Content Pillar,Target Audience,Primary Goal,Key Message,CTA,Content Format,SEO Keywords (PK),Badhta Pehnaao Integration,Priority,Production Status,Owner
index.html,Brand Story + Conversion,New visitors (mothers 25-40),First impression + booking,Lahore's only grow-with-me stitching studio for girls 1-20,Book a free fitting,Hero video + product gallery + social proof,"kids stitching lahore, girls boutique gulberg, children tailor lahore","Hero section: 'Ek silaai, teen saal' banner + grow-with-me explainer video",P0,Draft needed,Studio
index-full-gallery.html,A/B Test: Visual Impact,Instagram-referred visitors,Higher engagement time,See the magic before you book,Explore collections,Full-bleed photo hero + minimal text,"children fashion lahore, kids eid dresses",Showcase expanded outfits side-by-side (Age 4 vs Age 6),P1,Draft needed,Studio
about-us.html,Trust + Story,Considering customers,Emotional connection,"Two sisters, one dream, 11 master tailors, 1000+ happy families",Meet our tailors,Founder story + studio tour video + team photo grid,"about tifl little wear, kids stitching studio lahore",Origin story: why we started grow-with-me after seeing waste,P0,Draft needed,Founder
measurements.html,Education + Trust,First-time custom clients,Reduce anxiety about process,11 precise measurements = 3 years of perfect fit,Book measurement session,Step-by-step visual guide + video + FAQ accordion,"how to measure kids for stitching, children measurements guide",Explain which measurements have 'grow room' built in,P0,Draft needed,Studio
tailors.html,Expertise + Social Proof,Quality-conscious mothers,Show craftsmanship depth,Each master tailor has 15+ years and a specialty,View tailor profiles,Grid cards with specialty badges + years of experience,"master tailor lahore, expert children stitching",Tailors trained specifically in expandable techniques,P0,Draft needed,Studio
master-tailor.html,Personal Connection,Clients matched to tailor,Build tailor-client relationship,Your outfit is in [Name]'s expert hands,Book with this tailor,Bio + timeline + gallery + testimonials per tailor,"[tailor name] tifl, best kids tailor lahore",Showcase tailor's specific grow-with-me techniques,P0,Dynamic - auto,Studio
contact.html,Accessibility,All visitors,Lower friction to reach us,"We're 11am-8pm, Tue-Sun, MM Alam Road area",Call now / WhatsApp,Form + map embed + contact cards + hours,"tifl little wear contact, kids tailor gulberg phone",N/A,P0,Live,Studio
booking.html,Conversion,Ready-to-book visitors,Get fitting appointment,"3 ways to start: Studio visit, Home visit, or Video consult",Select date & time,Interactive calendar + service cards + process timeline,"book kids fitting lahore, children tailor appointment",Booking flow asks child's age + shows grow-with-me options,P0,Live,Studio
booking-confirmation-preview.html,Retention,Post-booking clients,Reduce no-shows + excitement,Your fitting is confirmed — here's what to bring,Add to calendar,Confirmation card + what-to-expect checklist + map,N/A,Show estimated 'growth timeline' for the outfit,P1,Template ready,Auto
design-studio.html,Engagement + Tool,Creative mothers/daughters,Inspire custom orders,"Mix, match, and imagine — we'll stitch it exactly",Save design / Book consultation,Interactive sketch tool + fabric guidance,"custom kids dress design, design your own kids outfit lahore",Tool suggests 'expandable' modifications for chosen design,P0,Live,Studio
custom-design.html,High-Ticket Conversion,Clients wanting unique pieces,Capture complex briefs,Describe your dream — we'll make the tech pack,Submit brief,Rich text form + inspiration upload + budget selector,"bespoke children wear lahore, custom kids formal wear",Form includes 'intended wear duration' question,P1,Live,Studio
sizing-tool.html,Utility + SEO,Online-only shoppers,Reduce returns/size issues,Find her perfect size in 60 seconds,Get size recommendation,Interactive calculator + size chart,"kids size calculator, girls dress size pakistan",Calculator outputs 'current size + recommended expansion grade',P1,Draft needed,Studio
shop.html,Commerce,Ready buyers,Product discovery + cart adds,"Ready pieces, ready to wear — or customize",Add to cart / Customize,Filterable grid + category chips + quick view,"buy kids dresses lahore, girls eid dress online pakistan",Product cards show 'expansion potential' badge,P0,Live,Studio
product.html,Commerce Detail,Interested buyers,Add to cart or book customization,"Every detail, every stitch, every option",Add to cart / Book fitting,Gallery + specs + size selector + fabric story + reviews,"[product name] kids lahore, girls frock gulberg",Size selector includes 'with grow room' toggle,P0,Dynamic - auto,Studio
live-sell.html,Urgency + Community,Deal seekers + loyal fans,Immediate sales during events,Live now — comment to claim before it sells out,Join live / View replay,Video embed + comment feed + claim button + countdown,"live sale kids clothes lahore, tifl live selling",Highlight 'grow-with-me' pieces as premium tier in live,P1,Event-based,Studio
checkout.html,Conversion,Cart holders,Complete purchase,"Secure checkout, cash on delivery available",Place order,Multi-step form + order summary + trust badges,N/A,Order notes include 'plan for growth' checkbox,P0,Live,Auto
thank-you.html,Retention + Advocacy,New customers,Turn buyer into advocate,Your little one's outfit journey begins,Share on WhatsApp / Order tracking,Confirmation + referral code + next steps,N/A,Show 'growth reminder' schedule (when to bring back for expansion),P0,Live,Auto
account.html,Retention,Returning customers,Increase LTV + reduce churn,"Your measurements, orders, and growth timeline",Book next fitting / Reorder,Login + order history + saved measurements + growth tracker,N/A,Growth tracker: visual timeline of all outfits and expansion dates,P0,Draft needed,Dev + Studio
blog.html,SEO + Authority,Organic search visitors,Build topical authority,"Stories, guides, and behind-the-seams from Lahore's kids studio",Read article / Subscribe,Card grid with categories + featured post,"kids fashion blog pakistan, children wear tips",Category: 'Grow-With-Me Guides',P0,Draft needed,Content
blog-behind-the-seams.html,Process Education,Research-phase parents,Build trust through transparency,From 11 measurements to final stitch — see how a kurta is born,Book a fitting / Share,Long-form article with process photos + video embeds,"how kids kurta is made, behind the seams stitching",Detail where expansion seams are hidden,P1,Draft needed,Content
blog-eid-collection-story.html,Emotion + Seasonal,Eid shoppers,Create desire for collection,How we designed this Eid's palette under Lahore's spring sky,Shop Eid collection / Pre-book,Editorial long-form with mood boards + fabric sourcing story,"eid collection kids lahore 2026, eid dresses girls pakistan",Highlight which Eid pieces have 2-year expansion,P1,Draft needed,Content
grow-with-me-planner.html (NEW),Conversion + Utility,All parents of girls 1-12,Convert browsers into long-term clients,Plan her wardrobe for the next 3 years in 5 minutes,Start planning / Book consultation,Interactive planner tool + visual roadmap + cost calculator,"grow with me clothes pakistan, expandable kids wear lahore, kids wardrobe planner",CORE FEATURE — full interactive outfit planner with age expansion,P0,NEEDS BUILD,Dev + Content
