Field,Description / Instruction,Example
Content ID,"Unique identifier: [TYPE]-[DATE]-[NUMBER] e.g., REEL-0815-01",REEL-0815-01
Content Pillar,Which of the 10 pillars does this belong to?,Pillar 2: Grow-With-Me Transformations
Platform,Where will this be published?,Instagram Reel + TikTok cross-post
Format,Grid post / Carousel / Reel / Story / Live / Blog / Page,Reel (30-45 seconds)
Target Audience,Specific persona segment,Mothers of girls aged 4-8 in DHA/Gulberg Lahore
Primary Goal,What should this content achieve?,Drive Grow-With-Me Planner page visits
Key Message (1 sentence),The ONE thing someone should remember,'One Tifl dress = 3 years of perfect fit'
Hook (First 1.5 seconds),What stops the scroll? Be specific.,"Visual: Same girl, same dress, side by side — Age 4 vs Age 6. Text overlay: 'Same dress. 2 years apart.'"
Script / Outline,"Bullet points of what happens, second by second","0-1.5s: Hook visual + text. 1.5-5s: 'Yeh dress main ne 2024 mein silwai thi...' 5-15s: Show expansion points (hem, waist). 15-25s: 'Ab 2026 mein bhi fit hai — bas expansion fitting li thi.' 25-30s: CTA + logo"
Visual Direction,"Mood, lighting, setting, props","Studio natural light, warm tones, close-ups of stitching detail, child smiling in dress"
Audio / Music,"Music style, voiceover, or trending audio",Trending Pakistani soft instrumental OR warm voiceover in Urdu-English mix
Caption (Draft),Full caption with line breaks,"""Same dress. 2 years. Zero waste. 💙

Ayesha wore this frock for Eid 2024. We built in hidden expansion seams. One fitting later, it's Eid 2026 and it still fits perfectly.

That's the Tifl Grow-With-Me promise.

📍 Gulberg III, Lahore
🔗 Plan her 3-year wardrobe — link in bio

#GrowWithMe #KidsTailorLahore #TiflLittleWear #SustainableKidsFashion #LahoreMoms"""
CTA,Specific action you want,'Plan her 3-year wardrobe — link in bio'
Hashtag Set,Which set from reference?,Set C - Transformation
SEO Keywords (if applicable),For blog/page content only,"grow with me clothes pakistan, expandable kids wear lahore"
Internal Links (if applicable),For blog/page content only,"Link to /grow-with-me-planner.html, /booking.html"
Badhta Pehnaao Angle,How does this tie into the core concept?,Visual proof of expansion — the dress itself demonstrates the concept
Emotional Trigger,What feeling should this evoke?,"Pride (smart shopping), Nostalgia (seeing child grow), Relief (no more waste)"
Objection Handled,What doubt does this address?,'Custom is too expensive' → Shows cost-per-wear value
Production Requirements,What do you need to make this?,"1 client willing to share before/after photos, studio space for 30 min, ring light"
Owner / Responsible,Who creates this?,Content Lead + Videographer
Due Date,When must this be ready?,"Aug 18, 2026"
Publish Date & Time,Exact schedule slot,"Wednesday Aug 19, 8:00 PM PKT"
Success Metric,How will you know this worked?,"5000+ views, 200+ saves, 15+ link clicks to planner"
Notes / References,"Links to inspiration, previous similar content, etc.","Reference: REEL-0801-03 (performed well, 12K views). Avoid: busy background in last reel."
