Week,Date Range,Theme / Campaign,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Key Metric,Platform Focus
1,Aug 10-16,Independence Day + Studio Launch Push,"Pillar 8: Lahore Life — '14 August ki taiyari, Gulberg mein rang birangi dresses' (Reel)","Pillar 2: Grow-With-Me — Before/After: Same dress, 2 years (Reel)",Pillar 4: Style Guide — '3 green & white combos for 14 Aug' (Carousel),Pillar 1: Behind The Seams — How we stitch the hidden expansion seam (Reel),Pillar 6: Collection Drop — 14 Aug mini-collection launch (Stories + Reel),Pillar 9: Interactive — 'Rate this 14 Aug look 1-10' (Story poll + post),Pillar 3: Mama Moments — Real mom review of 14 Aug outfit (Story series),Engagement rate + Story replies,Instagram
2,Aug 17-23,Back-to-School Wardrobe Planning,Pillar 4: Style Guide — 'School uniform se Eid tak: 5 versatile pieces' (Carousel),Pillar 2: Grow-With-Me — 'School dress jo 2 saal chalay' transformation (Reel),Pillar 10: Founder Diaries — 'School admissions season = busiest month for us' (Story),Pillar 1: Behind The Seams — Measuring a wiggly 4-year-old (funny Reel),Pillar 5: Tailor Spotlight — Ustad Ali: 'School uniforms ka ustad' (Reel),Pillar 9: Interactive — 'Aapki beti ka school kaunsa hai?' (Story poll),Pillar 6: Live Sale Hype — 'Back-to-school live sale: Sunday 8pm' (Stories countdown),Live sale attendance + bookings,Instagram + WhatsApp
3,Aug 24-30,The Grow-With-Me Planner Launch,Pillar 4: Style Guide — 'How to plan a 3-year wardrobe (free tool inside)' (Carousel),Pillar 2: Grow-With-Me — 'Cost breakdown: Rs. 8000 dress worn 6 times vs Rs. 12000 worn 18 times' (Reel),Pillar 10: Founder Diaries — 'Why we built the Grow-With-Me Planner' (Reel),Pillar 1: Behind The Seams — Walkthrough of the planner tool (Screen recording Reel),"Pillar 6: Collection Drop — 'Planner Launch: Book a session, get free wardrobe roadmap' (Stories)",Pillar 9: Interactive — 'What's your biggest kids clothing struggle?' (Story Q&A),Pillar 3: Mama Moments — First user of the planner shares her roadmap (Reel),Planner page visits + booking conversions,Instagram + Website
4,Aug 31-Sep 6,Testimonial Harvest + UGC Push,"Pillar 3: Mama Moments — '3 moms, 3 stories, 1 studio' compilation (Reel)",Pillar 2: Grow-With-Me — UGC repost: Customer's own before/after (Story + feed),Pillar 7: Kapray Ki Kahani — 'From first Eid to memory cushion: Ayesha's journey' (Reel),Pillar 5: Tailor Spotlight — Ustad Fatima: 'Lace & frills specialist' (Reel),Pillar 9: Interactive — 'Guess how many times this dress has been worn' (Story quiz),"Pillar 8: Lahore Life — 'Sunday at Tifl: Fittings, chai, and little fashionistas' (Reel)",Pillar 4: Style Guide — 'Muharram simple dressing guide for girls' (Carousel),UGC submissions + #KaprayKiKahani usage,Instagram
5,Sep 7-13,Winter Collection Tease + Wedding Season Prep,Pillar 4: Style Guide — 'Winter wedding season: Fabric guide for Lahore nights' (Carousel),"Pillar 1: Behind The Seams — Winter fabrics arriving: velvet, khaddar, marina (Reel)",Pillar 6: Collection Hype — 'Winter Wedding Collection: Coming soon' teaser (Stories),Pillar 2: Grow-With-Me — 'Wedding dress jo 3 shaadiyon tak chalay' (Reel),Pillar 10: Founder Diaries — 'Sourcing winter fabrics from Faisalabad' (Story),Pillar 9: Interactive — 'Which winter color for your daughter?' (Story poll),Pillar 3: Mama Moments — 'My daughter's first winter wedding' emotional story (Reel),Winter collection pre-orders,Instagram + FB
6,Sep 14-20,Master Tailor Series (Deep Dive),"Pillar 5: Tailor Spotlight — Ustad Rizwan: '18 years, 2000+ frocks, 0 complaints' (Reel)",Pillar 1: Behind The Seams — Rizwan's signature 'invisible hem' technique (Reel),Pillar 5: Tailor Spotlight — Ustad Saira: 'The embroidery queen' (Reel),Pillar 1: Behind The Seams — Saira's hand-embroidery process (Time-lapse Reel),Pillar 9: Interactive — 'Which tailor would you choose?' (Story poll),Pillar 6: Live Sale Hype — 'Master Tailor Exclusive Drop: Sunday' (Stories),Pillar 3: Mama Moments — 'I only book with Ustad Rizwan' — loyal customer story (Reel),Tailor-specific booking requests,Instagram
7,Sep 21-27,The Memory Piece Service Launch,Pillar 7: Kapray Ki Kahani — 'Old dress → new bag: Watch the transformation' (Reel),Pillar 10: Founder Diaries — 'Why we started memory pieces — my own daughter's dress' (Reel),Pillar 4: Style Guide — '5 ways to repurpose your daughter's outgrown formal wear' (Carousel),Pillar 7: Kapray Ki Kahani — Customer reaction to receiving her memory piece (Reel),Pillar 9: Interactive — 'Would you turn her old Eid dress into a keepsake?' (Story poll),Pillar 6: Collection Drop — 'Memory Piece Service: Book now' (Stories),Pillar 8: Lahore Life — 'Delivering a memory piece in DHA Phase 5' (Reel),Memory piece bookings,Instagram + WhatsApp
8,Sep 28-Oct 4,Winter Wedding Collection Launch,Pillar 6: Collection Drop — 'Winter Wedding Collection 2026: Full reveal' (Reel),Pillar 4: Style Guide — '5 must-have pieces for winter wedding season' (Carousel),Pillar 2: Grow-With-Me — 'This wedding collection is designed to expand' (Reel),Pillar 1: Behind The Seams — Making the collection: from sketch to stitch (Reel),Pillar 6: Live Sale — 'Winter Wedding Live: Friday 8pm' (Stories countdown),Pillar 9: Interactive — 'Which piece should we restock?' (Story poll),Pillar 3: Mama Moments — 'First customer to buy from Winter Collection' (Story),Collection sales + live sale revenue,All platforms
9,Oct 5-11,Eid-ul-Adha 2026 Early Bird (6 months out),Pillar 4: Style Guide — 'Eid 2027 planning starts NOW: Why early birds save 30%' (Carousel),Pillar 2: Grow-With-Me — 'Last Eid's dress → This Eid's expanded fit' (Reel),Pillar 10: Founder Diaries — 'We start Eid prep 6 months early — here's why' (Reel),Pillar 9: Interactive — 'When do YOU start Eid shopping?' (Story poll),"Pillar 6: Early Bird Offer — 'Book Eid 2027 fitting by Oct 31, get 15% off' (Stories)",Pillar 3: Mama Moments — 'I booked Eid 2027 in October 2026 — here's my plan' (Reel),Pillar 8: Lahore Life — 'October in Gulberg: Eid fabric shopping has begun' (Reel),Early bird bookings,Instagram + WhatsApp
10,Oct 12-18,Customer Education Week: Measurements & Fit,Pillar 4: Style Guide — 'How to measure your daughter at home (step-by-step)' (Carousel),Pillar 1: Behind The Seams — 'Why 11 measurements matter more than age' (Reel),"Pillar 9: Interactive — 'Upload your measurement attempt, we'll correct it' (Story challenge)",Pillar 5: Tailor Spotlight — 'Ustad teaching a mother to measure' (Reel),Pillar 4: Style Guide — 'Signs your daughter's dress needs expansion' (Carousel),Pillar 2: Grow-With-Me — 'Expansion fitting: Before & after in same session' (Reel),Pillar 3: Mama Moments — 'I was scared of custom stitching until...' (Reel),Measurement tool page visits + bookings,Instagram + Website
